,product_name,energy_100g,sugars_100g,fiber_100g,proteins_100g,sodium_100g,saturated-fat_100g,nutrition-score-fr_100g,nutrition_grade_fr
207745,Saucisses de Toulouse (x 4),,,,,,,,
240276,Palets de Bretagne,2142.0,27.2,,5.7,0.5118110236220471,18.4,27.0,e
225191,Nonnettes Fourrées Orange 200G,1339.0,48.0,,3.0,0.47244094488189003,1.0,18.0,d
253496,Soupe de poisson de Provence,,,,,,,,
244448,COUSCOUS MULTICEREALES,1494.0,2.0,4.3,11.9,0.6023622047244089,0.5,0.0,b
178842,Stick Ketchup,493.0,19.8,,1.3,0.78740157480315,0.02,13.0,d
257111,Fromage fondu au cheddar pour hamburger,1083.0,4.0,,14.0,1.1811023622047199,14.0,18.0,d
188013,Milkshake Kakao,485.0,11.0,,3.7,0.0511811023622047,3.6,21.0,e
239767,Sauce samouraï ,2292.0,1.4,,1.0,,4.7,,
217381,Pommes Bananes,250.0,12.7,0.2,0.0,0.0011811023622047198,0.0,-3.0,a
180104,bloc de foie gras de canard,1986.0,0.9,,5.9,0.448818897637795,20.5,19.0,e
280703,Gazi Hirtenkäse,1284.0,1.8,,14.0,1.10236220472441,18.0,23.0,e
205252,2 Pavés à l'Huile d'Olive et au Basilic,538.0,0.5,,21.0,0.31496062992126,0.8,-1.0,a
266324,Ratatouille ,146.0,3.6,1.2,0.9,0.334645669291339,0.2,-3.0,a
262571,Oeufs de poules élevées en plein air,,,,,,,,
257108,Fromage blanc fondu Malki's à la crème de lait,1305.0,2.0,0.0,8.5,0.47244094488189003,21.0,18.0,d
256267,Tomates entières fraîches Bio CARREFOUR,100.0,2.8,1.2,1.4,0.0078740157480315,0.1,-1.0,a
181105,Thé glacé,,,,,,,,
307387,Yogur Con Vainilla 150 GRS. Cristal,397.0,11.6,0.0,4.1,0.0393700787401575,2.2,3.0,c
205048,Figues Lerida / 500GR,1230.0,52.0,12.0,3.3,0.078740157480315,0.3,8.0,c
272468,Soupe de Poissons,197.0,0.4,,6.2,0.3543307086614171,0.3,0.0,b
207469,Jambon Sec Casino,996.0,0.0,,28.0,2.00787401574803,6.6,18.0,d
237527,Le Batonnet Moelleux (+33 % gratuit),481.0,2.8,,7.5,0.708661417322835,0.4,4.0,c
264321,Noir dégustation 72%,2301.0,24.6,,8.4,0.0078740157480315,26.6,21.0,e
204757,Côtes du Rhône Prestige,,,,,,,,
220377,Croissance en poudre. 3e âge,,,,,,,,
254536,Picot Mes 1ères Céréales Multicéréales,1565.0,6.0,1.0,4.0,0.0118110236220472,0.0,2.0,b
336672,Jus de citron vert,117.0,0.8,0.0,0.4,0.00354330708661417,0.0,0.0,b
209372,"Filets de maquereaux fumés NORDLAND, 160g",1464.0,0.0,,18.0,0.0,6.5,5.0,c
243114,"Doux tartine, cuisine & pâtisserie",1971.0,0.6,,,0.15748031496063,26.0,,
201916,Juvamine Soupe Artichaut Minceur,67.0,0.65,1.05,0.25,0.15748031496063,0.0,4.0,c
254647,Champagne Brut Premier Cru,,,,,,,,
222872,Muesli aux Graines ,1621.0,1.0,10.4,12.6,0.078740157480315,1.5,-5.0,a
335844,Penne blancs Bio,1519.0,3.3,2.6,10.5,1.9685039370078703e-06,0.3,-4.0,a
321666,"Bouillon kub, pot au feu",828.0,3.4,2.4,10.5,20.5905511811024,0.4,,
251686,Glace Alpérel miel lavande,,,,,,,,
